platform,market_focus,media,domain_candidate,access_code,access_interpretation,evidence,desktop_chrome,extension_support,notes,source_urls,source_titles,research_date
TV4 Play,Nordics,Video,tv4play.se,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free and paid-with-ads; sport/live can retain commercial breaks.,https://www.tv4play.se/var-behandlar-vi-datan ; https://www.tv4play.se/paket?return=%2Fkanaler%2Ftabla%3Fd%3D2026-03-11,TV4 Play data and advertising ; Paket och priser,2026-09-06
Ruutu,Nordics,Video,ruutu.fi,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free Pluto catalog and paid Ruutu+ with ads.,https://asiakastuki.ruutu.fi/article/152-ruudun-hinnasto ; https://www.ruutu.fi/plutotv-sisaltokirjasto,Ruudun hinnasto - Ruutu-käyttäjätuki ; Ruutu - ei koskaan tylsää hetkeä.,2026-09-06
MTV Katsomo,Nordics,Video,mtv.fi,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Finnish free/paid service confirmed; current advertising tier details need checking.,https://www.mtv.fi/kayttoehdot,MTV terms of use,2026-09-06
TV 2 Play Denmark,Nordics,Video,play.tv2.dk,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid with-ads candidate; distinguish broadcast from VOD.,,,2026-09-06
TV 2 Play Norway,Nordics,Video,play.tv2.no,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Separate Norwegian service; current plan/ad details need checking.,,,2026-09-06
Viaplay,Nordics,Video,viaplay.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid with-ads packages and live-ad exceptions; verify each country.,https://help.viaplay.com/is/advertisements-on-viaplay/,Advertisements on Viaplay - Customer Service,2026-09-06
Player Poland,Central Eastern Europe and Balkans,Video,player.pl,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free channels and paid ad-free offering; verify ad behavior by package.,https://promocja.player.pl/sprawdz-oferte-ogladaj-wiecej ; https://www.promocja.player.pl/bez-reklam,"Twoje ulubione seriale i programy w Playerze – sprawdź, jaki pakiet wybrać ; Sprawdź pakiet, z którym oglądasz bez reklam!",2026-09-06
TVP VOD,Central Eastern Europe and Balkans,Video,vod.tvp.pl,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official player offers with/without ads; access model and individual titles need check.,https://vod.tvp.pl/na-zywo,"Vod.tvp.pl - oglądaj filmy, seriale, programy i tv na żywo - Telewizja Polska S.A.",2026-09-06
Polsat Box Go,Central Eastern Europe and Balkans,Video,polsatboxgo.pl,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free clips/paid packages and live TV candidate.,,,2026-09-06
WP Pilot,Central Eastern Europe and Balkans,Video,pilot.wp.pl,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free/paid internet TV candidate.,,,2026-09-06
TVP Sport,Central Eastern Europe and Balkans,Video,sport.tvp.pl,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Polish sports highlights/live candidate.,,,2026-09-06
prima+,Central Eastern Europe and Balkans,Video,primaplus.cz,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Czech Free/Light/Premium candidate; current plan comparison needed.,https://www.primaplus.cz/,"prima+ | sledujte filmy, seriály a pořady TV Prima na Prima plus",2026-09-06
Oneplay,Central Eastern Europe and Balkans,Video,oneplay.cz,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Czech paid service; successor to Voyo/O2 TV offerings, verify exact migration.",,,2026-09-06
JOJ Play,Central Eastern Europe and Balkans,Video,jojplay.sk,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Slovak free/premium candidate.,,,2026-09-06
Voyo Slovakia,Central Eastern Europe and Balkans,Video,voyo.markiza.sk,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid service; not assumed free with ads.,,,2026-09-06
RTL+ Hungary,Central Eastern Europe and Balkans,Video,rtlplusz.hu,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ads confirmed; free/Active/Premium eligibility differs.,https://rtl.hu/ugyfelszolgalat/tartalmak-fogyasztasa ; https://rtl.hu/rtlplusz,"RTL.hu – _Ügyfélszolgálat/Tartalmak fogyasztása, kérdések & válaszok! ; RTL+ Hungary plans",2026-09-06
TV2 Play Hungary,Central Eastern Europe and Balkans,Video,tv2play.hu,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Hungarian broadcaster; separate from Nordic TV 2 Play products.,,,2026-09-06
AntenaPLAY,Central Eastern Europe and Balkans,Video,antenaplay.ro,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Romanian paid live/VOD candidate.,,,2026-09-06
VOYO Romania,Central Eastern Europe and Balkans,Video,voyo.protv.ro,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid service; free clips may be on broadcaster sites.,,,2026-09-06
VOYO Croatia,Central Eastern Europe and Balkans,Video,voyo.rtl.hr,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid service; country-specific ads/live rights.,,,2026-09-06
VOYO Slovenia,Central Eastern Europe and Balkans,Video,voyo.si,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid service; no general free catalog assumed.,,,2026-09-06
VOYO Bulgaria,Central Eastern Europe and Balkans,Video,voyo.bg,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid service; free bTV clips separate.,,,2026-09-06
bTV Plus,Central Eastern Europe and Balkans,Video,btvplus.bg,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Bulgarian catch-up candidate; current availability needs checking.,,,2026-09-06
Nova Play Bulgaria,Central Eastern Europe and Balkans,Video,play.nova.bg,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Commercial broadcaster catch-up candidate.,,,2026-09-06
EON,Central Eastern Europe and Balkans,Video,eon.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid regional TV aggregator; country/provider entitlement needed.,,,2026-09-06
ANT1+,Central Eastern Europe and Balkans,Video,antennaplus.gr,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Greek free/paid surfaces and ad tier need verification.,,,2026-09-06
MEGA Play,Central Eastern Europe and Balkans,Video,megatv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Greek free broadcaster live/catch-up candidate.,,,2026-09-06
SKAI,Central Eastern Europe and Balkans,Video,skai.gr,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Greek free broadcaster video/live candidate.,,,2026-09-06
Alpha TV Greece,Central Eastern Europe and Balkans,Video,alphatv.gr,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Greek broadcaster catch-up candidate.,,,2026-09-06
puhutv,Turkey Caucasus CIS Ukraine Baltics,Video,puhutv.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free browser service confirmed; ad behavior needs current playback check.,https://puhutv.com/yardim-merkezi,puhutv | Sen Nasıl İzlersen,2026-09-06
tabii,Turkey Caucasus CIS Ukraine Baltics,Video,tabii.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Regional free/premium offering; app being free is not proof that programs are free.,https://www.tabii.com/en,tabii - Watch TV Shows Movies and Series,2026-09-06
Exxen,Turkey Caucasus CIS Ukraine Baltics,Video,exxen.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid with/without ads candidate; inspect current plans.,,,2026-09-06
GAIN,Turkey Caucasus CIS Ukraine Baltics,Video,gain.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Subscription service; do not assume free/ad-supported access.,,,2026-09-06
TOD,Turkey Caucasus CIS Ukraine Baltics,Video,tod.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid sports/entertainment; broadcast ads versus player ads.,,,2026-09-06
Kanal D,Turkey Caucasus CIS Ukraine Baltics,Video,kanald.com.tr,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free Turkish episodes/live candidate.,,,2026-09-06
ATV Turkey,Turkey Caucasus CIS Ukraine Baltics,Video,atv.com.tr,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free Turkish episodes/live candidate.,,,2026-09-06
Show TV,Turkey Caucasus CIS Ukraine Baltics,Video,showtv.com.tr,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free Turkish episodes/live candidate.,,,2026-09-06
Star TV Turkey,Turkey Caucasus CIS Ukraine Baltics,Video,startv.com.tr,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free Turkish episodes/live candidate.,,,2026-09-06
NOW Turkey,Turkey Caucasus CIS Ukraine Baltics,Video,nowtv.com.tr,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Turkish broadcaster, distinct from UK NOW.",,,2026-09-06
Ivi,Turkey Caucasus CIS Ukraine Baltics,Video,ivi.ru,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free content interrupted by ads documented; subscription and live exceptions.,https://ask.ivi.ru/knowledge-bases/10/articles/41543-reklama-na-sajte-ivi-sdelat-eyo-menshe-ili-sovsem-ubrat ; https://www.ivi.ru/pages/agreement/agreement.txt,Реклама на сайте Иви (сделать её меньше или совсем убрать) / Иви ; Ivi service agreement,2026-09-06
Kinopoisk,Turkey Caucasus CIS Ukraine Baltics,Video,hd.kinopoisk.ru,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid and any free/ad experiments require local account testing.,,,2026-09-06
Okko,Turkey Caucasus CIS Ukraine Baltics,Video,okko.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid VOD/live; verify any free streams.,,,2026-09-06
Wink,Turkey Caucasus CIS Ukraine Baltics,Video,wink.ru,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,TV/VOD; inspect current free/ad-funded availability.,,,2026-09-06
KION,Turkey Caucasus CIS Ukraine Baltics,Video,kion.ru,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Subscription plus selected free access candidate.,,,2026-09-06
START,Turkey Caucasus CIS Ukraine Baltics,Video,start.ru,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Primarily subscription; ads/free portions unconfirmed.,,,2026-09-06
PREMIER,Turkey Caucasus CIS Ukraine Baltics,Video,premier.one,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Primarily subscription; ads/free portions unconfirmed.,,,2026-09-06
Smotrim,Turkey Caucasus CIS Ukraine Baltics,Video,smotrim.ru,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Public broadcaster live/VOD candidate.,,,2026-09-06
RUTUBE,Turkey Caucasus CIS Ukraine Baltics,Video,rutube.ru,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Large creator/video platform; verify current ad placement with primary player evidence.,,,2026-09-06
VK Video,Turkey Caucasus CIS Ukraine Baltics,Video,vkvideo.ru,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Creator/live video candidate; separate from VK Music.,,,2026-09-06
OK Video,Turkey Caucasus CIS Ukraine Baltics,Video,ok.ru,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Social video/live candidate.,,,2026-09-06
Dzen,Turkey Caucasus CIS Ukraine Baltics,Video,dzen.ru,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Publisher/social video candidate.,,,2026-09-06
MEGOGO,Turkey Caucasus CIS Ukraine Baltics,Video,megogo.net,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official ad sales confirmed; free/paid content differs by market.,https://megogo.net/ru/partnership,Сотрудничество - связаться с Megogo,2026-09-06
SWEET.TV,Turkey Caucasus CIS Ukraine Baltics,Video,sweet.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid TV/VOD; free trial not counted as free ad-funded tier.,,,2026-09-06
Kyivstar TV,Turkey Caucasus CIS Ukraine Baltics,Video,tv.kyivstar.ua,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ukraine free/paid TV candidate; carrier/package restrictions.,,,2026-09-06
1+1 video,Turkey Caucasus CIS Ukraine Baltics,Video,1plus1.video,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ukrainian broadcaster catch-up candidate.,,,2026-09-06
Go3,Turkey Caucasus CIS Ukraine Baltics,Video,go3.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Baltic subscription TV; verify each national service.,,,2026-09-06
TV3 Play Baltics,Turkey Caucasus CIS Ukraine Baltics,Video,tv3play.lv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Legacy/regional hosts and current free player need checking in Estonia/Latvia/Lithuania.,,,2026-09-06
Aitube,Turkey Caucasus CIS Ukraine Baltics,Video,aitube.kz,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Kazakhstan creator/film platform candidate.,,,2026-09-06
BeeTV Kazakhstan,Turkey Caucasus CIS Ukraine Baltics,Video,beetv.kz,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Carrier TV; entitlement and ad model unconfirmed.,,,2026-09-06
Mediabay,Turkey Caucasus CIS Ukraine Baltics,Video,mediabay.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Central Asian TV/VOD candidate.,,,2026-09-06
iTV Uzbekistan,Turkey Caucasus CIS Ukraine Baltics,Video,itv.uz,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,TV/VOD packages; free/ad eligibility unconfirmed.,,,2026-09-06
Kinodaran,Turkey Caucasus CIS Ukraine Baltics,Video,kinodaran.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Armenian streaming candidate; current plans need checking.,,,2026-09-06
Cavea+,Turkey Caucasus CIS Ukraine Baltics,Video,cavea.plus,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Georgian streaming candidate; paid/free distinctions unconfirmed.,,,2026-09-06
Silk Go,Turkey Caucasus CIS Ukraine Baltics,Video,silkgo.ge,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Georgian TV/sports candidate; provider restrictions.,,,2026-09-06
JioHotstar,India,Video,hotstar.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid ad-supported Mobile/Super plans; Premium entertainment exception does not remove live sports ads. Some free sampling may vary.,https://www.jiostar.com/news/jiohotstar-introduces-monthly-plans-across-tiers-giving-viewers-more-choice-in-how-they-watch-their-favourite-entertainment/,"JioHotstar Introduces Monthly Plans Across Tiers, Giving Viewers More Choice in How They Watch Their Favourite Entertainment - Jiostar",2026-09-06
MX Player by Prime Video,India,Video,mxplayer.in,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Amazon announced unification rollout in 2026; test remaining web host and Prime Free to Me as surfaces of a transitioning service.,https://www.aboutamazon.in/news/company-news/prime-video-mx-player-india-largest-streaming-service ; https://www.aboutamazon.in/news/company-news/prime-video-mx-player-india-largest-streaming-service,Prime Video and Amazon MX Player unification begins: Here's what's new - About Amazon India ; Prime Video and Amazon MX Player unification begins: Here's what's new - About Amazon India,2026-09-06
SonyLIV,India,Video,sonyliv.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official FAQ confirms free-user ads and paid ad-supported plans.,https://www.sonyliv.com/faqs,FAQs - Sony LIV,2026-09-06
ZEE5,India,Video,zee5.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Indian plan table explicitly lists paid plans with ads and Laptop/PC support. This is not evidence of a general free tier. Regional, kids and live plans differ.",https://www.zee5.com/myaccount/subscription?campaign-id=shabadreetaurriwaaz&content-id=0-1-6z5861493&language-code=hi&language-duration=DURATION_3M ; https://helpcenter.zee5.com/portal/en/kb/articles/premium-subscription-plans-12-5-2023,Avail the Best ZEE5 Subscription Plan & ZEE5 Offers ; ZEE5 Premium subscription plans,2026-09-06
JioTV,India,Video,jiotv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Primarily carrier/app-oriented; check whether intended channels play in desktop Chrome.,,,2026-09-06
Airtel Xstream Play,India,Video,airtelxstream.in,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Aggregator; subscriptions/provider apps and own player must be distinguished.,,,2026-09-06
Watcho,India,Video,watcho.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Aggregator and originals; free versus bundle access needs checking.,,,2026-09-06
ShemarooMe,India,Video,shemaroome.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free sampling/subscription candidate.,,,2026-09-06
Hungama OTT,India,Video,hungama.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Video/music and subscription distinctions require checking.,,,2026-09-06
Dangal Play,India,Video,dangalplay.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free/paid Indian broadcaster candidate.,,,2026-09-06
Sun NXT,India,Video,sunnxt.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Primarily subscription; live broadcast ads may differ.,,,2026-09-06
aha,India,Video,aha.video,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Regional subscription and free clips; do not assume ad-funded full access.,,,2026-09-06
hoichoi,India,Video,hoichoi.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Primarily subscription; verify free/promotional portion.,,,2026-09-06
ManoramaMAX,India,Video,manoramamax.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free broadcaster/paid entertainment candidate.,,,2026-09-06
Chaupal,India,Video,chaupal.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Regional subscription candidate; verify ads/free catalog.,,,2026-09-06
STAGE,India,Video,stage.in,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Regional subscription/short-form candidate; app/browser limits.,,,2026-09-06
FanCode,India,Video,fancode.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Sports free highlights versus paid match/tour passes.,,,2026-09-06
JioGamesWatch,India,Video,jiogames.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Game-streaming surface; verify current web service and ad inventory.,,,2026-09-06
Tamasha,Pakistan Bangladesh Sri Lanka Nepal,Video,tamashaweb.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Pakistani mixed service; selected Pro sports ad-free documented, baseline ads/free entitlements need test.",https://tamashaweb.com/terms-of-use,Tamasha Terms of Use,2026-09-06
myco,Pakistan Bangladesh Sri Lanka Nepal,Video,myco.io,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Regional sports/creator service; ads, rewards and paid rights must be distinguished.",https://www.linkedin.com/posts/myco-io_myco-streamingrights-icc-activity-7400179912701022208-iS2v,#myco #streamingrights #icc #cricket | myco.io,2026-09-06
Tapmad,Pakistan Bangladesh Sri Lanka Nepal,Video,tapmad.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Primarily paid sports/TV; check genuinely free sections separately.,,,2026-09-06
ARY ZAP,Pakistan Bangladesh Sri Lanka Nepal,Video,aryzap.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Pakistan live/entertainment candidate.,,,2026-09-06
Har Pal Geo,Pakistan Bangladesh Sri Lanka Nepal,Video,harpalgeo.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Broadcaster episodes; embedded YouTube may share existing adapter.,,,2026-09-06
HUM TV,Pakistan Bangladesh Sri Lanka Nepal,Video,hum.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Broadcaster episodes/live; check embedded provider versus own player.,,,2026-09-06
Toffee,Pakistan Bangladesh Sri Lanka Nepal,Video,toffeelive.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official FAQ confirms free and premium web content; do not use conflicting older all-free terms as current plan proof.,https://toffeelive.com/bn/page/faqs,FAQs - Toffee,2026-09-06
Bongo,Pakistan Bangladesh Sri Lanka Nepal,Video,bongobd.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Bangladesh AVOD/subscription candidate.,,,2026-09-06
Chorki,Pakistan Bangladesh Sri Lanka Nepal,Video,chorki.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Primarily paid Bengali VOD; check free sampling separately.,,,2026-09-06
Bioscope,Pakistan Bangladesh Sri Lanka Nepal,Video,bioscopelive.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Bangladesh service/current branding and active player need checking.,,,2026-09-06
Rabbithole,Pakistan Bangladesh Sri Lanka Nepal,Video,rabbitholebd.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Sports/video candidate; rights and payment restrictions.,,,2026-09-06
Dialog ViU/ViU+,Pakistan Bangladesh Sri Lanka Nepal,Video,dialog.lk,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Sri Lankan product distinct from PCCW Viu; official help documents live access charge, not generally free TV.",https://dialog.lk/viu-app/livetv-charging ; https://dialog.lk/news/dialog-ushers-in-device-free-home-entertainment-with-viu-plus-smart-tv-app?language=en,ViU App - LIVE TV Charging | Dialog Axiata PLC ; Dialog ushers in device-free home entertainment with ViU+ Smart TV App | Dialog Axiata PLC,2026-09-06
Hiru TV,Pakistan Bangladesh Sri Lanka Nepal,Video,hirutv.lk,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Sri Lankan broadcaster live/VOD candidate.,,,2026-09-06
TV Derana,Pakistan Bangladesh Sri Lanka Nepal,Video,derana.lk,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Sri Lankan broadcaster live/VOD candidate.,,,2026-09-06
