platform,market_focus,media,domain_candidate,access_code,access_interpretation,evidence,desktop_chrome,extension_support,notes,source_urls,source_titles,research_date
ABEMA,Japan,Video,abema.tv,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free content plus paid advertising-supported Premium documented; qualify each type separately.,https://help.abema.tv/hc/ja/articles/38856389251353-%E5%BA%83%E5%91%8A%E3%81%A4%E3%81%8DABEMA%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6 ; https://help.abema.tv/hc/ja/articles/360013830391-%E3%81%A9%E3%81%AE%E3%82%88%E3%81%86%E3%81%AA%E6%9C%89%E6%96%99%E3%83%97%E3%83%A9%E3%83%B3%E3%81%8C%E3%81%82%E3%82%8A%E3%81%BE%E3%81%99%E3%81%8B,広告つきABEMAプレミアムについて – ABEMAヘルプ ; どのような有料プランがありますか？ – ABEMAヘルプ,2026-09-06
Coupang Play,Korea Taiwan Hong Kong,Video,coupangplay.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official free-with-ads offer for Coupang members; WOW/pass entitlements separate.,https://play.coupang.com/en,Coupang Play,2026-09-06
TVING,Korea Taiwan Hong Kong,Video,tving.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid advertising-supported tier; TVING/Wavve bundles do not prove unified player.,https://www.tving.com/bill/subscription/plan?tab=plus ; https://www.tving.com/bill/subscription/plan?returnUrl=https%3A%2F%2Fwww.tving.com%2Flive%2FC51855,이용권 구독 ; TVING,2026-09-06
LINE TV Taiwan,Korea Taiwan Hong Kong,Video,linetv.tw,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free titles with ads plus VIP; unrelated to closed LINE TV Thailand.,https://help.linetv.tw/hc/zh-tw/articles/48925851740441-%E8%A7%80%E7%9C%8B%E5%BD%B1%E7%89%87%E6%98%AF%E5%90%A6%E9%9C%80%E8%A6%81%E4%BB%98%E8%B2%BB,觀看影片是否需要付費？ – LINE TV 客服中心,2026-09-06
Viu,Southeast Asia,Video,viu.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Pan-regional service; official developer confirms premium avoids ads. Free catalog and desktop behavior vary by market.,https://hq.viu.com/ ; https://play.google.com/store/apps/details?id=com.viu.phone,Viu | HQ ; Viu : Korean & Asian content - Apps on Google Play,2026-09-06
WeTV,Southeast Asia,Video,wetv.vip,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official free viewing and ad-free VIP described; title/region restrictions.,https://wetv.vip/en?appid=coop_direct_msite_EASIMY%2F1000,"WeTV – Watch Chinese, Korean, Japanese, Thai dramas, anime, and movies for free. We provide Thai, Indonesian, and Malay subtitles and dubbing. Register as a WeTV VIP for an ad-free experience, comment with friends, and enjoy multilingual subtitles.",2026-09-06
iQIYI International,Southeast Asia,Video,iq.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Free/VIP; VIP skips only some ad types, not all commercial content.",https://pca.iq.com/vip/privilege?is_privilege=1 ; https://intl-help.iq.com/m/?agentType=426&entranceId=PCW%2FH5_navigation&entry=pc&lang=en_us&mod=th&ptid=01010031010014000000,"For VIP privileges, please see ; Help and Feedback",2026-09-06
Vidio,Southeast Asia,Video,vidio.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"July 2026 terms explicitly describe free AVOD, subscription and transactional/PPV models, with website/computer access. Indonesian free VOD, sports and paid titles need separate playback tests.",https://support.vidio.com/support/solutions/articles/43000689191-syarat-ketentuan-vidio,Syarat & Ketentuan Vidio | Support Vidio,2026-09-06
RCTI+,Southeast Asia,Video,rctiplus.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official app listing confirms free content with ads; desktop ad behavior not verified.,https://play.google.com/store/apps/details?gl=ID&id=com.fta.rctitv,RCTI+ Superapp - Apps on Google Play,2026-09-06
mewatch,Southeast Asia,Video,mewatch.sg,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official app describes free/premium content; official free-channel page and Mediacorp web video-roll specifications document advertising. Specs include skippable and non-skippable formats; actual placement/player behavior untested.,https://play.google.com/store/apps/details/meWATCH_Watch_Video_Movies_and_TV_Programmes?hl=en_US&id=sg.mediacorp.android ; https://www.mewatch.sg/live-tv/free-channels ; https://creativelab.mediacorp.sg/ad-eg/video-roll.html ; https://www.mewatch.sg/list/30-discount-off-3-month-mewatch-prime-and-FREE-3-month-ROCK-24-7-488253,"mewatch: Watch Video, Movies - Apps on Google Play ; Free Channels - mewatch ; Mediacorp Creative Lab - AdSpec ; 30% discount off 3-month mewatch prime and FREE 3-month ROCK 24/7 - mewatch",2026-09-06
Tonton,Southeast Asia,Video,tonton.com.my,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official plan table confirms free ad-supported shows and computer support. TontonUp can retain ads on free shows; local live channels retain ads even with the No-ads upgrade. Qualify each surface separately.,https://stream.tonton.com.my/,"Tonton Malaysia | Watch Dramas, Movies & Shows Online",2026-09-06
sooka,Southeast Asia,Video,sooka.my,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official description confirms free ad-supported channels; sports packages separate.,https://s.sooka.my/9FClb7,"sooka-Sports, TV Shows, Movies - Apps on Google Play",2026-09-06
VieON,Southeast Asia,Video,vieon.vn,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free web films plus paid no-ads upgrade documented.,https://vieon.vn/huong-dan-su-dung-vieon-website.html?af_adset=tvshow&af_force_deeplink=true&c=owner-yt-tvshow-rvmua4-20sep2024&pid=owner,Hướng Dẫn Sử Dụng VieON Website: Đăng Ký Tài Khoản | Nhận Mã Giảm Giá Độc Quyền | Xem Phim 4K Miễn Phí,2026-09-06
7plus,Australia and New Zealand,Video,7plus.com.au,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded browser TV/live/VOD.,https://support.7plus.com.au/hc/en-au/articles/360060207852-Will-I-see-advertising-on-the-site ; https://support.7plus.com.au/hc/en-au/articles/360060521851-Can-I-access-7plus-for-free,Will I see advertising on the site? – 7plus ; Can I access 7plus for free? – 7plus,2026-09-06
9Now,Australia and New Zealand,Video,9now.com.au,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded live/catch-up; Australian access.,https://help.9now.com.au/hc/en-au/articles/33270561854489-Is-9Now-free-to-use,Is 9Now free to use? – 9Now,2026-09-06
10,Australia and New Zealand,Video,10.com.au,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Former 10 play; official help confirms free live/catch-up with advertising.,https://helpdesk.tenplay.com.au/support/solutions/articles/16000125615-why-does-10-play-have-ads- ; https://helpdesk.tenplay.com.au/support/solutions/articles/16000048101-about-10,Why does 10 have ads? : 10 play ; About 10 : 10,2026-09-06
SBS On Demand,Australia and New Zealand,Video,sbs.com.au,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded service; multilingual VOD/live. Certain ad-category opt-outs are not universal ad-free viewing.,https://help.sbs.com.au/hc/en-au/articles/360002314515-Why-is-there-advertising-on-SBS,Why is there advertising on SBS? – SBS Help Centre,2026-09-06
TVNZ+,Australia and New Zealand,Video,tvnz.co.nz,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official media kit confirms free service and video ad breaks.,https://sales.tvnz.co.nz/assets/Presentations/TVNZ%2B-Digital-Media-Kit-May-2025.pdf,PowerPoint Presentation,2026-09-06
ThreeNow,Australia and New Zealand,Video,threenow.co.nz,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official developer lists free live/VOD with ads; desktop ad playback still untested.,https://play.google.com/store/apps/details?hl=en&id=com.mediaworks.android,ThreeNow - Apps on Google Play,2026-09-06
ViX,Latin America and Caribbean,Video,vix.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Separate Gratis and paid Premium with/without ads; do not conflate plans.,https://ayuda.vix.com/hc/es/articles/26019677892365-Preguntas-frecuentes-sobre-ViX-Con-Anuncios ; https://ayuda.vix.com/hc/es/articles/42642211728781--Apostar%C3%ADas-por-M%C3%AD-Puedo-probar-el-contenido-Premium-en-ViX-sin-suscribirme,Preguntas frecuentes sobre ViX Con Anuncios – ViX ; ¿Apostarías por Mí?: ¿Puedo probar el contenido Premium en ViX sin suscribirme? – ViX,2026-09-06
Canela.TV,Latin America and Caribbean,Video,canela.tv,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Official FAQ: free with ads, web available; US and much of Latin America.",https://static-assets-cdn.edge.api.canela.tv/static/config/static-config/faq.html,Canela.TV FAQ,2026-09-06
Mercado Play,Latin America and Caribbean,Video,mercadolibre.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free viewing and video advertising documented; use the appropriate local Mercado Libre host.,https://global-selling.mercadolibre.com/learning-center/news/find-out?suScope=prod ; https://investor.mercadolibre.com/sites/mercadolibre/files/mercadolibre/results/mercadoLibre-Q424-sec-show.pdf,Mercado Libre ; 0001099590-25-000007,2026-09-06
Globoplay,Latin America and Caribbean,Video,globoplay.globo.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free tier plus paid with-ads/Premium; pause ads separate from video breaks.,https://ajuda.globo.com/article/Quais-os-tipos-de-plano-do-Globoplay ; https://globoads.globo.com/para-o-seu-negocio/anunciar-no-globoplay/pause-ads,Quais os tipos de plano do Globoplay ; Pause Ads | Globo Ads,2026-09-06
Shahid,Middle East and North Africa,Video,shahid.mbc.net,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ad-funded and subscription models documented; live and VIP distinctions.,https://shahid.mbc.net/en/terms-and-conditions ; https://www.mbc.net/ar/news/42,Terms and Conditions | MBC Shahid ; 3Q 2024 Earnings Release,2026-09-06
eVOD,Sub-Saharan Africa,Video,evod.co.za,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-supported South African service; web runtime still needs qualification.,https://www.etv.co.za/press-releases/evod-now-available-whale-tv,eVOD Now Available on Whale TV,2026-09-06
AfroLandTV,Sub-Saharan Africa,Video,afrolandtv.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free viewing plus ad-free Premium documented.,https://www.afrolandtv.com/upgrade,| AfroLandTV,2026-09-06
Spotify,Global music radio and podcasts,Audio,open.spotify.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free songs/podcasts with ads; music breaks and podcast sponsorships are separate problems.,https://open.spotify.com/browse/albums,Spotify – Web Player,2026-09-06
YouTube Music,Global music radio and podcasts,Audio,music.youtube.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official free ad-supported music/podcasts; separate from youtube.com adapter.,https://support.google.com/youtubemusic/answer/6313529?hl=en,What is YouTube Music? - YouTube Music Help,2026-09-06
SoundCloud,Global music radio and podcasts,Audio,soundcloud.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free listening with audio/display ads; Go differs by territory and catalog.,https://soundcloud.com/company/plans/go ; https://help.soundcloud.com/hc/en-us/articles/31353227038747-Soundcloud-Go-General-FAQs,Go ; Soundcloud Go General FAQs – SoundCloud Help Center,2026-09-06
Amazon Music Free,Global music radio and podcasts,Audio,music.amazon.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Amazon confirms audio ad inventory; distinguish Free from Prime and Unlimited.,https://advertising.amazon.com/help/G9T72834T7Z2K2RB,Amazon DSP audio advertising,2026-09-06
Pandora,Global music radio and podcasts,Audio,pandora.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-supported tier; primarily US service; paid tiers have exceptions.,https://alexa.pandora.com/privacy,Pandora - Privacy Policy,2026-09-06
iHeartRadio,Global music radio and podcasts,Audio,iheart.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official help confirms free version funded by ads; some stations retain commercials for subscribers.,https://help.iheart.com/hc/en-us/articles/16944556140685-Why-am-I-hearing-commercials-even-though-I-have-a-subscription,Why am I hearing commercials even though I have a subscription? – iHeartRadio Help,2026-09-06
Audacy,Global music radio and podcasts,Audio,audacy.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free stations funded by ads; geographically targeted audio ads documented.,https://support.audacy.com/hc/en-us/articles/13767116748059-Is-Audacy-Free ; https://support.audacy.com/hc/en-us/articles/39469742083995-Why-am-I-hearing-ads-for-a-different-area-or-city-than-my-current-location,Is Audacy Free? – Audacy Support ; Why am I hearing ads for a different area or city than my current location? – Audacy Support,2026-09-06
LiveOne,Global music radio and podcasts,Audio,liveone.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official help confirms free ad-sponsored service after paid cancellation.,https://support.liveone.com/hc/en-us/articles/4415471548315-Cancel-a-LiveOne-Subscription,Cancel a LiveOne Subscription – LiveOne,2026-09-06
Audiomack,Global music radio and podcasts,Audio,audiomack.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid upgrade removes ad interruptions; app-only features do not prove browser parity.,https://creators.audiomack.com/premium,Audiomack | Free Music Sharing and Discovery,2026-09-06
iVoox,Global music radio and podcasts,Audio,ivoox.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free podcasts/radio plus ad-free paid options; host-read sponsorship remains separate.,https://www.ivoox.com/planes ; https://www.ivoox.com/en/,Planes de iVoox: Premium y Plus ; The leading podcast platform in Spanish - iVoox,2026-09-06
JioSaavn,Regional audio,Audio,jiosaavn.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free listening with Pro ad-free upgrade; browser eligibility/ad format needs runtime check.,https://www.jio.com/help/faq/jio-apps/jiosaavn/do-i-have-to-pay-for-using-features-in-jiosaavn/ ; https://www.jio.com/apps/jiosaavn/,Do I have to pay for using features in JioSaavn? ; JioSaavn Free Song App - Download Latest Songs Online & Music App,2026-09-06
Boomplay,Regional audio,Audio,boomplay.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official developer describes free service funded by ads; browser feature parity unverified.,https://play.google.com/store/apps/details?hl=en_US&id=com.afmobi.boomplayer,Boomplay: Music & Live Stream - Apps on Google Play,2026-09-06
Anghami,Regional audio,Audio,play.anghami.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official help explicitly documents ads on the free plan through a temporary ad-removal offer. Homepage plan extraction remains ambiguous; territory eligibility and desktop parity are untested.,https://support.anghami.com/hc/en-us/articles/9198311576602-Anghami-Ads-Free-Offer-How-It-Works ; https://support.anghami.com/hc/en-us/categories/204110868-Advertise-on-Anghami ; https://support.anghami.com/hc/en-us/articles/9198311576602-Anghami-Ads-Free-Offer-How-It-Works,Anghami Ads-Free Offer – How It Works? – Anghami Help Center ; Advertise on Anghami – Anghami Help Center ; Anghami Ads-Free Offer – How It Works? – Anghami Help Center,2026-09-06
TREBEL,Regional audio,Audio,trebelmusic.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Official app describes free daily allowance with ads; app-first, desktop player not established.",https://play.google.com/store/apps/details?hl=en_US&id=com.mmm.trebelmusic,"TREBEL: Music, MP3 & Podcasts - Apps on Google Play",2026-09-06
Pornhub,Adult video and live-camera services,Adult,pornhub.com,A,Adult advertising inventory documented; free/player details require qualification,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Adult ad placement confirmed by official ad network; local eligibility required; no playback tested.,https://www.trafficjunky.com/advertiser/ad-formats,"TrafficJunky Ad Formats: Advertise on Pornhub, YouPorn & More | TrafficJunky",2026-09-06
YouPorn,Adult video and live-camera services,Adult,youporn.com,A,Adult advertising inventory documented; free/player details require qualification,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Adult ad placement confirmed; video/display formats must be distinguished.,https://www.trafficjunky.com/advertiser/ad-formats,"TrafficJunky Ad Formats: Advertise on Pornhub, YouPorn & More | TrafficJunky",2026-09-06
RedTube,Adult video and live-camera services,Adult,redtube.com,A,Adult advertising inventory documented; free/player details require qualification,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Adult ad placement confirmed; no playback tested.,https://www.trafficjunky.com/advertiser/ad-formats,"TrafficJunky Ad Formats: Advertise on Pornhub, YouPorn & More | TrafficJunky",2026-09-06
Tube8,Adult video and live-camera services,Adult,tube8.com,A,Adult advertising inventory documented; free/player details require qualification,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official network still lists placement; independently verify active service/browser before adapter.,https://www.trafficjunky.com/advertiser/ad-formats,"TrafficJunky Ad Formats: Advertise on Pornhub, YouPorn & More | TrafficJunky",2026-09-06
xHamster,Adult video and live-camera services,Adult,xhamster.com,A,Adult advertising inventory documented; free/player details require qualification,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Official advertising partner lists pre-roll, popunder and other formats.",https://trafficstars.com/product/xhamster-ads,xHamster's ads Exclusive Ad Partner TrafficStars,2026-09-06
Eporner,Adult video and live-camera services,Adult,eporner.com,A,Adult advertising inventory documented; free/player details require qualification,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ad-network case study confirms advertising inventory; current player behavior untested.,https://trafficstars.com/blog/case-study-scaling-an-igaming-offer-in-mena-to-1536-ftd,"Case Study: Scaling an iGaming Offer in MENA to 1,536 FTD",2026-09-06
DAZN,Additional sports surfaces,Video,dazn.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free selection plus paid passes; ad sales documented. Qualify each territory and rights package.,https://www.dazn.com/en-IT/help/articles/16738769256733-free-offer ; https://biz.dazn.com/mediaguide/,Free-Offer | DAZN IT ; DAZN広告 媒体資料ダウンロード,2026-09-06
12+ / mako,Iran and Israel,Video,12plus.tv,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Israeli browser video with paid ad-removal/pre-roll-only choices documented; entitlement/territory restrictions apply.,https://www.mako.co.il/mako-vod-help/Article-d09b3267d356081026.htm?Partner=blockscomp ; https://www.mako.co.il/mako-vod-help/Article-dd0b75e6b096e71026.htm?partner=purchase_page,עזרה ותמיכה למשתמשי אפליקציית הסטרימינג | +12 ; תקנון צפייה בתשלום ב +12 | +12,2026-09-06
